location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Sunshine Duration,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,°C,min,mm,cm,%,%,km/h,°
level,2 m elevation corrected,700 mb,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [700 mb],Basel Sunshine Duration,Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220103T0800,10.090529,-8.37,0.0,0.0,0.0,75.0,100.0,22.086521,250.9744
20220103T0900,9.5505295,-8.8,0.0,0.0,0.0,75.0,59.0,18.792551,253.30075
20220103T1000,9.530529,-8.28,28.681482,0.0,0.0,74.0,35.0,20.150354,251.24136
20220103T1100,10.600529,-8.71,47.272724,0.0,0.0,71.0,21.0,23.749088,255.96376
20220103T1200,11.530529,-8.45,54.545452,0.0,0.0,68.0,9.0,27.047956,260.0362
20220103T1300,12.040529,-8.5,49.090908,0.0,0.0,64.0,18.0,29.17777,260.7701
20220103T1400,12.930529,-7.38,37.57576,0.0,0.0,62.0,37.0,25.212852,260.1342
20220103T1500,13.220529,-7.77,41.81818,0.0,0.0,58.0,30.0,26.368616,265.30133
20220103T1600,13.120529,-7.58,34.545456,0.0,0.0,58.0,42.0,25.233406,255.96376
20220103T1700,12.630529,-6.95,38.78788,0.0,0.0,57.0,35.0,23.936617,257.84506
20220103T1800,11.580529,-6.28,32.75926,0.0,0.0,61.0,38.0,20.082708,255.46555
20220103T1900,11.440529,-6.21,0.0,0.0,0.0,62.0,72.0,16.179985,249.14554
20220103T2000,11.510529,-6.03,0.0,0.0,0.0,62.0,68.0,18.514643,243.43495
20220103T2100,11.200529,-5.85,0.0,0.0,0.0,64.0,74.0,16.704155,232.88315
20220103T2200,11.090529,-5.85,0.0,0.0,0.0,65.0,100.0,14.113652,232.2532
20220103T2300,11.270529,-5.69,0.0,0.0,0.0,65.0,100.0,14.003028,223.95837
20220104T0000,11.140529,-5.31,0.0,0.0,0.0,66.0,100.0,13.493999,226.08093
20220104T0100,10.400529,-5.31,0.0,0.1,0.0,71.0,100.0,10.685391,212.61925
20220104T0200,10.440529,-4.71,0.0,0.0,0.0,67.0,100.0,10.383987,213.69006
20220104T0300,10.500529,-4.35,0.0,0.1,0.0,68.0,100.0,10.799999,216.8699
20220104T0400,10.440529,-3.64,0.0,0.3,0.0,72.0,100.0,10.883676,235.7843
20220104T0500,10.730529,-3.16,0.0,0.1,0.0,73.0,100.0,9.0,216.8699
20220104T0600,10.730529,-3.08,0.0,0.1,0.0,71.0,100.0,16.870138,219.80557
20220104T0700,10.760529,-2.23,0.0,0.2,0.0,71.0,100.0,22.545315,218.51694
20220104T0800,10.110529,-1.96,0.0,0.4,0.0,73.0,100.0,28.227304,217.74681
20220104T0900,10.660529,-2.21,0.0,0.3,0.0,73.0,100.0,26.758923,222.2737
20220104T1000,11.130529,-2.13,0.0,0.6,0.0,74.0,100.0,29.275326,224.50179
20220104T1100,12.490529,-2.36,0.0,0.9,0.0,74.0,100.0,35.426632,232.43141
20220104T1200,12.870529,-2.4,0.0,0.6,0.0,73.0,100.0,33.270313,234.24611
20220104T1300,14.670529,-3.07,0.0,0.4,0.0,65.0,100.0,39.777966,244.82648
20220104T1400,16.830528,-2.79,53.939396,0.0,0.0,55.0,10.0,34.322937,245.85446
20220104T1500,16.89053,-3.17,0.0,0.0,0.0,53.0,100.0,30.75209,242.83502
20220104T1600,16.750528,-3.8,0.0,0.0,0.0,51.0,100.0,29.723444,253.10135
20220104T1700,16.240528,-4.15,0.0,0.0,0.0,52.0,100.0,28.943642,264.28943
20220104T1800,15.010529,-4.76,0.0,0.0,0.0,58.0,100.0,22.086521,289.0256
20220104T1900,12.000529,-4.72,0.0,0.0,0.0,80.0,100.0,15.379206,327.42596
20220104T2000,10.320529,-4.92,0.0,0.1,0.0,88.0,100.0,18.043148,331.38956
20220104T2100,6.7705283,-4.66,0.0,0.8,0.0,86.0,100.0,25.189713,329.03625
20220104T2200,6.8905287,-5.3,0.0,1.1,0.0,89.0,100.0,16.548256,315.8814
20220104T2300,6.5805287,-6.21,0.0,0.2,0.0,80.0,100.0,21.841648,278.53076
20220105T0000,6.0805287,-6.97,0.0,0.0,0.0,81.0,100.0,22.68,270.0
20220105T0100,5.9205284,-9.64,0.0,0.0,0.0,79.0,100.0,21.194187,249.10223
20220105T0200,6.540529,-10.58,0.0,0.0,0.0,76.0,100.0,20.808498,232.7336
20220105T0300,6.790529,-11.31,0.0,0.0,0.0,74.0,100.0,24.408424,232.79208
20220105T0400,6.7205286,-11.42,0.0,0.0,0.0,77.0,100.0,22.59699,247.52057
20220105T0500,6.3805285,-11.99,0.0,0.0,0.0,82.0,100.0,24.29133,263.19095
20220105T0600,5.7405286,-12.62,0.0,0.0,0.0,87.0,100.0,24.86868,292.10944
20220105T0700,2.3605285,-13.73,0.0,0.5,0.35,80.0,100.0,19.862083,313.5312
20220105T0800,3.0505285,-14.21,0.0,0.2,0.14,71.0,100.0,24.464113,302.98853
20220105T0900,1.9105287,-14.9,0.0,0.0,0.0,78.0,65.0,24.798225,297.68106
20220105T1000,1.3005286,-14.89,40.064983,0.0,0.0,80.0,10.0,25.161398,289.21268
20220105T1100,1.3505287,-15.97,53.939396,0.0,0.0,78.0,10.0,24.448214,283.627
20220105T1200,2.2805285,-16.33,53.939396,0.0,0.0,71.0,10.0,24.336637,277.65067
20220105T1300,3.0805285,-16.61,53.939396,0.0,0.0,68.0,10.0,24.905132,274.14462
20220105T1400,3.9505286,-16.92,53.939396,0.0,0.0,59.0,10.0,17.654686,286.58734
20220105T1500,4.6305285,-16.77,53.939396,0.0,0.0,54.0,10.0,20.545246,281.11304
